Gene	logFC	P.Value
NM_008567	-1.2642525	6.53E-09
NM_029653	-1.5670645	7.47E-09
NM_133928	-1.1015853	7.47E-09
NM_011413	-1.4433562	7.82E-09
XM_984280	-1.6923913	7.99E-09
BC048950	-1.9636917	8.23E-09
AK161130	-1.3596328	8.43E-09
XM_001003228	-1.0090813	8.54E-09
XM_620145	-1.5506797	9.21E-09
XM_001003345	-1.0182461	9.69E-09
AK158766	-1.2356992	9.69E-09
XM_130672	-1.3078956	1.04E-08
NM_207652	-1.1282766	1.06E-08
AK028229	-2.2655588	1.07E-08
NM_199157	-1.5626224	1.10E-08
NM_026445	-1.092334	1.13E-08
AK084219	-1.3964864	1.27E-08
AK009938	-2.2506735	1.35E-08
NM_001037935	-1.0959084	1.43E-08
XM_150216	-1.0252679	1.47E-08
AK162506	-1.2958699	1.69E-08
NM_176972	-1.2593145	1.80E-08
NM_176919	-1.5319015	1.90E-08
NM_029117	-2.0052881	1.90E-08
BC036179	-1.2646553	2.14E-08
AK045605	-2.2092372	2.19E-08
AK136763	-1.8517562	2.23E-08
NM_016720	-1.3458521	2.39E-08
AK033699	-1.1918098	2.49E-08
XM_620401	-1.3441009	2.55E-08
NM_177909	-1.3728395	2.76E-08
AK136449	-1.4762263	2.89E-08
NM_011913	-1.5184763	2.90E-08
BC051142	-1.5969593	2.93E-08
NM_018768	-1.2020372	2.94E-08
AK135853	-1.1629263	3.08E-08
BC005420	-1.0003754	3.26E-08
NM_023526	-1.0781275	3.27E-08
XM_356549	-1.6762073	3.64E-08
NM_146343	-1.1195893	3.66E-08
BC068263	-1.0499616	3.74E-08
BC023500	-1.7082306	3.79E-08
XM_001003013	-1.044419	4.00E-08
XM_001004806	-1.4085962	4.95E-08
NM_016770	-1.1490277	5.87E-08
AK137657	-1.1951432	6.37E-08
NM_008812	-1.0125482	6.81E-08
AK007856	-1.4713168	7.15E-08
XM_979239	-1.942709	7.46E-08
NM_001010826	-1.4927965	7.63E-08
AK165815	-1.259183	7.70E-08
NM_016925	-1.0171969	7.73E-08
BC046305	-2.0836725	7.80E-08
NM_053223	-1.0479392	8.26E-08
XM_899415	-1.3023507	8.55E-08
BC018258	-1.3237169	8.61E-08
BC107255	-2.0195519	8.75E-08
XM_884704	-1.3515404	9.09E-08
BC064787	-2.4064393	9.40E-08
XM_889589	-1.3254217	9.62E-08
NM_029347	-1.7248797	9.74E-08
NM_177875	-1.1949363	1.05E-07
XM_618962	-1.264998	1.06E-07
NM_011726	-2.3021692	1.08E-07
NM_001037918	-1.0377394	1.09E-07
NM_053185	-1.9886788	1.10E-07
AK154101	-1.0808277	1.13E-07
NM_028954	-1.7737678	1.20E-07
AK136381	-1.7071474	1.21E-07
XM_901760	-1.1240496	1.28E-07
NM_001024619	-1.4375925	1.37E-07
AK052858	-1.4509932	1.39E-07
XM_355385	-1.1400902	1.42E-07
NM_182959	-1.5828651	1.45E-07
AK171976	-1.2223623	1.49E-07
BC096577	-1.4944732	1.56E-07
AK029403	-1.5038287	1.65E-07
NM_175369	-1.1446506	1.66E-07
BC080307	-1.2786963	1.77E-07
NM_175000	-1.7008364	1.77E-07
XM_156321	-1.7976198	1.81E-07
BC003812	-2.2727573	1.84E-07
NM_011727	-2.384355	1.94E-07
BC039810	-1.5896412	2.04E-07
XM_893320	-1.6818499	2.16E-07
NM_199032	-1.2234726	2.20E-07
NM_009762	-1.2957567	2.21E-07
AK047994	-1.6016361	2.59E-07
BC023408	-1.3139071	2.67E-07
NM_001004146	-1.0548684	2.70E-07
BC026527	-1.0379505	2.71E-07
BC086668	-1.0592831	2.84E-07
L27105	-1.0672514	2.87E-07
XM_001003056	-1.3285884	3.04E-07
NM_025753	-1.6820249	3.24E-07
AK015050	-1.0236453	3.30E-07
AK165595	-1.3421734	3.62E-07
AK002458	-1.5329412	4.03E-07
NM_009026	-1.5596485	4.21E-07
NM_011700	-1.653882	4.22E-07
XM_900197	-1.4316921	4.56E-07
NM_027789	-1.1630526	4.76E-07
NM_029331	-1.2976654	4.82E-07
AK017085	-1.0348587	4.85E-07
NM_183389	-1.084862	5.38E-07
BC020003	-1.1476767	5.46E-07
BC008661	-1.000133	5.89E-07
XM_890467	-2.3465335	6.93E-07
AK006014	-1.2928163	6.94E-07
BC034166	-1.608782	6.97E-07
NM_007985	-1.0474985	7.00E-07
NM_172054	-1.092071	7.14E-07
NM_030052	-1.1697822	7.24E-07
AK042083	-1.4395118	7.40E-07
XM_001003922	-1.2287664	7.62E-07
NM_008199	-1.2114159	8.20E-07
NM_001004167	-1.6501329	9.20E-07
AY644766	-1.605045	1.00E-06
NM_207229	-1.0206286	1.01E-06
NM_153524	-1.2296288	1.01E-06
NM_080468	-1.3792167	1.09E-06
NM_178216	-1.294336	1.28E-06
NM_145831	-1.0510711	1.34E-06
BC025061	-1.2677786	1.34E-06
NM_022316	-1.0354595	1.56E-06
NM_175441	-1.5980144	1.56E-06
NM_027519	-1.128633	1.63E-06
NM_011618	-1.0921666	1.67E-06
BC038609	-1.0125294	1.85E-06
NM_130458	-1.0052546	2.17E-06
AK133031	-1.5029519	2.23E-06
XM_898137	-1.3691306	2.26E-06
BC029017	-1.1744437	2.37E-06
BC059709	-1.3034842	2.55E-06
NM_145980	-1.205167	2.65E-06
BC083061	-1.2167886	2.91E-06
